"skills","skill_count"
"[Go, SAP, Communication, Sales]","4"
"[CRM, Sales]","2"
"[Leadership, Communication, Sales]","3"
"[Customer Service, Sales]","2"
"[Project Management, Communication, Teamwork]","3"
"[Communication, Photoshop]","2"
"[Leadership, Communication, Customer Service]","3"
"[Communication, Customer Service]","2"
"[Communication, Sales]","2"
"[Communication, Customer Service, Sales]","3"
"[Communication, Customer Service, Sales]","3"
"[Communication, Customer Service]","2"
"[Quality Assurance, ETL]","2"
"[Go, SAP, Communication, Customer Service, Sales]","5"
"[Excel, Leadership, Communication, Teamwork, Customer Service]","5"
"[Leadership, Communication, Data Analysis, Financial Analysis, Sales]","5"
"[Communication, Social Media]","2"
"[JavaScript, React, Angular, SQL, Agile]","5"
"[Communication, Customer Service]","2"
"[Project Management, Customer Service, Sales]","3"
"[Excel, Communication, Customer Service, Sales]","4"
"[Leadership, Communication, Sales, Quality Assurance]","4"
"[Excel, SAP, Communication, Problem Solving, Teamwork]","5"
"[Agile, CRM, Leadership, Communication, Teamwork, Sales]","6"
"[Java, Kafka]","2"
"[JavaScript, Java, React, Angular, SQL, Azure, Docker, Kubernetes, Agile, CRM, Project Management, Leadership, Communication]","13"
"[CRM, Communication, Teamwork, Customer Service]","4"
"[JavaScript, Java, Angular, Node.js, Azure, Docker, Kubernetes, Git, CI/CD]","9"
"[Excel, Leadership, Communication, SEO, Content Marketing, Sales]","6"
"[Communication, Problem Solving]","2"
"[Excel, PowerPoint, Salesforce, Communication, Teamwork]","5"
"[Go, Communication, Customer Service]","3"
"[Communication, Customer Service]","2"
"[Communication, Teamwork]","2"
"[CRM, Communication]","2"
"[Communication, Teamwork]","2"
"[Communication, Social Media]","2"
"[Go, Project Management, Communication, Sales]","4"
"[Go, Communication, Customer Service]","3"
"[PowerPoint, Social Media]","2"
"[Agile, Jira, Communication]","3"
"[Leadership, Communication]","2"
"[Project Management, Communication]","2"
"[CRM, Communication]","2"
"[Project Management, Communication, Teamwork, Quality Assurance]","4"
"[Leadership, Communication, SEO, Social Media, Sales]","5"
"[CRM, Communication, Sales]","3"
"[Java, SQL, GCP, Kafka, Salesforce]","5"
"[Python, AWS, Azure, Docker, Terraform, CI/CD, Kafka, Leadership]","8"
"[Python, JavaScript, Java, SQL, Jenkins, Git, CI/CD, REST API, GraphQL, Agile, Jira, Tableau, Communication, Customer Service]","14"
"[Excel, Communication, Customer Service]","3"
"[Teamwork, Data Analysis]","2"
"[Communication, Sales]","2"
"[Communication, Financial Analysis]","2"
"[SQL, AWS, Azure, Excel, Communication, Teamwork, Sales]","7"
"[Communication, Customer Service, Sales]","3"
"[Excel, SAP, Communication, Teamwork, Data Analysis]","5"
"[Leadership, Communication, Teamwork, Sales]","4"
"[CRM, Communication, Sales]","3"
"[Communication, Social Media]","2"
"[CRM, Communication, Sales]","3"
"[Python, SQL, Azure, Communication, ETL]","5"
"[Excel, Problem Solving]","2"
"[Communication, Teamwork]","2"
"[Communication, Teamwork]","2"
"[Leadership, Communication, SEO, Social Media, Sales, Photoshop]","6"
"[Project Management, Communication]","2"
"[Machine Learning, Communication]","2"
"[CRM, Sales]","2"
"[Communication, Problem Solving]","2"
"[Customer Service, Sales]","2"
"[Leadership, Communication]","2"
"[Communication, Customer Service, Sales]","3"
"[Leadership, Communication, Customer Service]","3"
"[Go, Communication, Customer Service]","3"
"[Communication, Customer Service]","2"
"[Communication, Customer Service]","2"
"[Azure, Problem Solving]","2"
"[Teamwork, Social Media]","2"
"[Project Management, Leadership]","2"
"[Communication, Social Media]","2"
"[Communication, Teamwork]","2"
"[Kotlin, Communication]","2"
"[Excel, Sales]","2"
"[Leadership, Communication]","2"
"[Communication, Sales]","2"
"[Salesforce, CRM, Leadership, Communication, Social Media, Sales]","6"
"[Communication, Problem Solving, Teamwork, Customer Service, Sales]","5"
"[Python, AWS, Azure, GCP, Machine Learning, TensorFlow, PyTorch]","7"
"[Project Management, Communication, Teamwork, SEO, Content Marketing, Social Media, Google Analytics, Sales]","8"
"[Communication, Social Media]","2"
"[Project Management, Communication, Data Analysis]","3"
"[Project Management, Leadership, Communication, Teamwork, Data Analysis, Customer Service]","6"
"[Go, Machine Learning, Communication, Data Analysis, Sales]","5"
"[Communication, Customer Service]","2"
"[Excel, PowerPoint, Communication]","3"
"[Excel, PowerPoint, Communication]","3"
"[Go, Leadership, Communication, Cybersecurity]","4"
"[CRM, Communication, Sales]","3"
"[Communication, Customer Service]","2"
"[AWS, Communication]","2"
"[Communication, Sales]","2"
"[TypeScript, Go, Project Management, Social Media, Sales]","5"
"[Social Media, Customer Service, Sales]","3"
"[UI/UX, Figma]","2"
"[Excel, Communication]","2"
"[Salesforce, CRM, Leadership, Communication]","4"
"[Excel, PowerPoint]","2"
"[Leadership, Communication, Sales]","3"
"[SQL, MongoDB, Scrum, ETL]","4"
"[CRM, Sales]","2"
"[Social Media, Sales]","2"
"[Salesforce, Sales]","2"
"[Excel, Leadership, Communication]","3"
"[Excel, Leadership, Communication, Problem Solving]","4"
"[Go, REST API, Communication, Social Media]","4"
"[Azure, Leadership]","2"
"[Go, Excel, PowerPoint, Project Management, Leadership, Communication, Teamwork, Sales]","8"
"[Excel, PowerPoint, Salesforce, CRM, Leadership, Communication, Customer Service, Sales]","8"
"[Azure, Project Management, Communication]","3"
"[Leadership, Sales]","2"
"[Communication, Customer Service]","2"
"[Excel, PowerPoint, Project Management, Communication]","4"
"[Teamwork, Cybersecurity]","2"
"[Agile, Communication]","2"
"[Python, Communication, Teamwork]","3"
"[Python, Communication]","2"
"[Excel, PowerPoint, Communication]","3"
"[Python, JavaScript, React, SQL, PostgreSQL, Jira, Excel, PowerPoint]","8"
"[Project Management, Communication, Customer Service]","3"
"[Excel, Communication, Customer Service]","3"
"[Project Management, Leadership, Teamwork, Quality Assurance]","4"
"[Leadership, Teamwork]","2"
"[Project Management, Communication, Customer Service, Sales]","4"
"[JavaScript, Azure, Git, REST API, Agile, Scrum, Power BI, Salesforce, Communication, Problem Solving, Teamwork]","11"
"[Communication, Data Analysis]","2"
"[Communication, Quality Assurance]","2"
"[Problem Solving, Teamwork]","2"
"[Leadership, Communication, Teamwork, Customer Service, Sales]","5"
"[Communication, Problem Solving, Social Media, Google Analytics]","4"
"[Python, JavaScript, Java, Angular, Node.js, SQL, AWS, Docker, Jenkins, Git, REST API, Agile, Jira, Leadership, Communication, Teamwork]","16"
"[Agile, Excel, Project Management, Leadership, Communication]","5"
"[Project Management, Leadership, Communication]","3"
"[Leadership, Communication]","2"
"[Excel, PowerPoint, Leadership, Communication, Teamwork]","5"
"[Communication, Sales]","2"
"[Communication, Customer Service, Sales]","3"
"[Project Management, Communication, Teamwork]","3"
"[SQL, AWS]","2"
"[CRM, Project Management, Leadership, Communication, Teamwork, Sales, UI/UX, Quality Assurance]","8"
"[Excel, PowerPoint, Leadership, Communication]","4"
"[Leadership, Communication]","2"
"[JavaScript, Java, Node.js, AWS, GCP, Docker, Terraform, Jenkins, CI/CD, Leadership, Quality Assurance]","11"
"[Communication, Customer Service, Sales]","3"
"[Excel, Power BI, Communication, Data Analysis, Financial Analysis]","5"
"[Communication, Teamwork]","2"
"[Go, Communication]","2"
"[Go, Excel, Leadership, Sales]","4"
"[Leadership, Sales]","2"
"[Communication, Sales]","2"
"[Excel, PowerPoint, Salesforce, CRM, Leadership, Communication, Sales]","7"
"[Python, SQL, MySQL, AWS, Azure, GCP, Spark, Leadership, ETL]","9"
"[REST API, Excel, Leadership, Sales]","4"
"[REST API, Leadership, Sales]","3"
"[Communication, Customer Service]","2"
"[Communication, Customer Service]","2"
"[Communication, Teamwork]","2"
"[Java, PHP, AWS, Azure, GCP, Communication, Teamwork, UI/UX]","8"
"[Excel, Communication]","2"
"[Leadership, Communication, Social Media]","3"
"[REST API, Leadership, Communication, Sales, Quality Assurance]","5"
"[REST API, Excel, Power BI, SAP, Leadership, Sales]","6"
"[REST API, Excel, Leadership, Sales]","4"
"[REST API, Leadership, Communication, Problem Solving, Sales]","5"
"[REST API, Excel, Leadership, Customer Service, Sales]","5"
"[REST API, CRM, Leadership, Sales]","4"
"[REST API, Leadership, Sales]","3"
"[REST API, Agile, Leadership, Sales]","4"
"[REST API, Leadership, Sales]","3"
"[Project Management, Leadership, Communication, Sales, Big Data]","5"
"[AWS, Azure, GCP, Excel, Tableau, Power BI, Project Management, Data Analysis, Google Analytics]","9"
"[CRM, Leadership, Communication, Teamwork, Sales]","5"
"[Excel, Leadership, Communication, Teamwork]","4"
"[Communication, Sales]","2"
"[REST API, Leadership, Sales]","3"
"[REST API, Leadership, Sales]","3"
"[REST API, Power BI, Leadership, Data Analysis, Sales, Big Data]","6"
"[REST API, Excel, Leadership, Sales]","4"
"[REST API, Project Management, Leadership, Problem Solving, Customer Service, Sales]","6"
"[REST API, Leadership, Sales]","3"
"[SQL, REST API, Excel, Power BI, Leadership, Communication, Customer Service, Sales]","8"
"[Azure, Communication, Problem Solving]","3"
"[REST API, Leadership, Sales]","3"
"[REST API, Leadership, Sales]","3"
"[REST API, Leadership, Sales]","3"
"[Excel, Communication, Sales]","3"
"[CRM, Project Management, Leadership, Communication, Teamwork]","5"
